"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2019","67","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/02/2019","93","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/03/2019","67","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/04/2019","85","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/05/2019","83","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/06/2019","52","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/07/2019","51","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/08/2019","62","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/09/2019","74","","Compton","06-037-1302","AQS"
"01/10/2019","67","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/11/2019","91","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/12/2019","51","","Long Beach (North)","06-037-4002","AQS"
"01/13/2019","67","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/14/2019","53","","Reseda","06-037-1201","AQS"
"01/15/2019","46","","Reseda","06-037-1201","AQS"
"01/16/2019","25","","Glendora","06-037-0016","AQS"
"01/17/2019","27","","Glendora","06-037-0016","AQS"
"01/18/2019","57","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/19/2019","53","","Long Beach (South)","06-037-4004","AQS"
"01/20/2019","45","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/21/2019","23","","Glendora","06-037-0016","AQS"
"01/22/2019","51","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/23/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/24/2019","65","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/25/2019","55","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/26/2019","62","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/27/2019","81","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/28/2019","106","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"01/29/2019","95","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/30/2019","72","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/31/2019","66","","Glendora","06-037-0016","AQS"
"02/01/2019","40","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/02/2019","30","","Glendora","06-037-0016","AQS"
"02/03/2019","33","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/04/2019","24","","Glendora","06-037-0016","AQS"
"02/05/2019","26","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/06/2019","28","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/07/2019","56","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/08/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/09/2019","57","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/10/2019","40","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/11/2019","38","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/12/2019","54","","Reseda","06-037-1201","AQS"
"02/13/2019","43","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/14/2019","38","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/15/2019","39","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/16/2019","24","","Glendora","06-037-0016","AQS"
"02/17/2019","27","","Glendora","06-037-0016","AQS"
"02/18/2019","24","","Anaheim","06-059-0007","AQS"
"02/19/2019","41","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/20/2019","50","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/21/2019","53","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/22/2019","55","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/23/2019","52","","Reseda","06-037-1201","AQS"
"02/24/2019","63","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/25/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"02/26/2019","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/27/2019","58","","Glendora","06-037-0016","AQS"
"02/28/2019","57","","Glendora","06-037-0016","AQS"
"03/01/2019","59","","Glendora","06-037-0016","AQS"
"03/02/2019","40","","Glendora","06-037-0016","AQS"
"03/03/2019","30","","Glendora","06-037-0016","AQS"
"03/04/2019","32","","Glendora","06-037-0016","AQS"
"03/05/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/06/2019","44","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/07/2019","32","","Glendora","06-037-0016","AQS"
"03/08/2019","28","","Reseda","06-037-1201","AQS"
"03/09/2019","39","","Reseda","06-037-1201","AQS"
"03/10/2019","51","","Reseda","06-037-1201","AQS"
"03/11/2019","52","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/12/2019","49","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/13/2019","54","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/14/2019","47","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/15/2019","45","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/16/2019","54","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/17/2019","51","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/18/2019","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/19/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/20/2019","35","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/21/2019","38","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/22/2019","38","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/23/2019","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/24/2019","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/25/2019","62","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/26/2019","61","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/27/2019","54","","Glendora","06-037-0016","AQS"
"03/28/2019","33","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/29/2019","51","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"03/30/2019","53","","Long Beach (South)","06-037-4004","AQS"
"03/31/2019","59","","Long Beach (South)","06-037-4004","AQS"
"04/01/2019","54","","Compton","06-037-1302","AQS"
"04/02/2019","47","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/03/2019","34","","Glendora","06-037-0016","AQS"
"04/04/2019","34","","Glendora","06-037-0016","AQS"
"04/05/2019","26","","Glendora","06-037-0016","AQS"
"04/06/2019","36","","Glendora","06-037-0016","AQS"
"04/07/2019","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/08/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/09/2019","53","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/10/2019","36","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/11/2019","58","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/12/2019","54","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/13/2019","53","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/14/2019","54","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/15/2019","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/16/2019","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/17/2019","48","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/18/2019","63","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/19/2019","69","","Glendora","06-037-0016","AQS"
"04/20/2019","54","","Reseda","06-037-1201","AQS"
"04/21/2019","45","","Glendora","06-037-0016","AQS"
"04/22/2019","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/23/2019","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/24/2019","67","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/25/2019","71","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/26/2019","72","","Glendora","06-037-0016","AQS"
"04/27/2019","73","","Glendora","06-037-0016","AQS"
"04/28/2019","66","","Glendora","06-037-0016","AQS"
"04/29/2019","49","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"04/30/2019","43","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/01/2019","54","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/02/2019","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/03/2019","63","","Glendora","06-037-0016","AQS"
"05/04/2019","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/05/2019","59","","Glendora","06-037-0016","AQS"
"05/06/2019","46","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/07/2019","35","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/08/2019","39","","Glendora","06-037-0016","AQS"
"05/09/2019","40","","Glendora","06-037-0016","AQS"
"05/10/2019","34","","Reseda","06-037-1201","AQS"
"05/11/2019","45","","Glendora","06-037-0016","AQS"
"05/12/2019","50","","Glendora","06-037-0016","AQS"
"05/13/2019","57","","Glendora","06-037-0016","AQS"
"05/14/2019","65","","Glendora","06-037-0016","AQS"
"05/15/2019","64","","Glendora","06-037-0016","AQS"
"05/16/2019","37","","Reseda","06-037-1201","AQS"
"05/17/2019","52","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/18/2019","50","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/19/2019","29","","Glendora","06-037-0016","AQS"
"05/20/2019","41","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/21/2019","39","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/22/2019","38","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/23/2019","49","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/24/2019","50","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/25/2019","46","","Glendora","06-037-0016","AQS"
"05/26/2019","34","","Glendora","06-037-0016","AQS"
"05/27/2019","36","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"05/28/2019","46","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/29/2019","53","","Glendora","06-037-0016","AQS"
"05/30/2019","70","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/31/2019","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/01/2019","56","","Glendora","06-037-0016","AQS"
"06/02/2019","53","","Glendora","06-037-0016","AQS"
"06/03/2019","56","","Glendora","06-037-0016","AQS"
"06/04/2019","66","","Glendora","06-037-0016","AQS"
"06/05/2019","69","","Reseda","06-037-1201","AQS"
"06/06/2019","65","","Glendora","06-037-0016","AQS"
"06/07/2019","61","","Reseda","06-037-1201","AQS"
"06/08/2019","59","","Glendora","06-037-0016","AQS"
"06/09/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/10/2019","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/11/2019","64","","Glendora","06-037-0016","AQS"
"06/12/2019","67","","Glendora","06-037-0016","AQS"
"06/13/2019","71","","Glendora","06-037-0016","AQS"
"06/14/2019","60","","Santa Clarita","06-037-6012","AQS"
"06/15/2019","62","","Glendora","06-037-0016","AQS"
"06/16/2019","66","","Glendora","06-037-0016","AQS"
"06/17/2019","45","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/18/2019","56","","Glendora","06-037-0016","AQS"
"06/19/2019","61","","Glendora","06-037-0016","AQS"
"06/20/2019","54","","Glendora","06-037-0016","AQS"
"06/21/2019","28","","Reseda","06-037-1201","AQS"
"06/22/2019","40","","Reseda","06-037-1201","AQS"
"06/23/2019","56","","Glendora","06-037-0016","AQS"
"06/24/2019","62","","Glendora","06-037-0016","AQS"
"06/25/2019","58","","Reseda","06-037-1201","AQS"
"06/26/2019","56","","Glendora","06-037-0016","AQS"
"06/27/2019","58","","Glendora","06-037-0016","AQS"
"06/28/2019","58","","Glendora","06-037-0016","AQS"
"06/29/2019","57","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/30/2019","57","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/01/2019","60","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/02/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/03/2019","64","","Glendora","06-037-0016","AQS"
"07/04/2019","105","","Anaheim","06-059-0007","AQS"
"07/05/2019","161","","Glendora","06-037-0016","AQS"
"07/06/2019","71","","Glendora","06-037-0016","AQS"
"07/07/2019","63","","Glendora","06-037-0016","AQS"
"07/08/2019","56","","Glendora","06-037-0016","AQS"
"07/09/2019","65","","Glendora","06-037-0016","AQS"
"07/10/2019","63","","Glendora","06-037-0016","AQS"
"07/11/2019","67","","Glendora","06-037-0016","AQS"
"07/12/2019","71","","Glendora","06-037-0016","AQS"
"07/13/2019","70","","Glendora","06-037-0016","AQS"
"07/14/2019","68","","Glendora","06-037-0016","AQS"
"07/15/2019","71","","Glendora","06-037-0016","AQS"
"07/16/2019","70","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/17/2019","60","","Reseda","06-037-1201","AQS"
"07/18/2019","57","","Glendora","06-037-0016","AQS"
"07/19/2019","54","","Glendora","06-037-0016","AQS"
"07/20/2019","54","","Glendora","06-037-0016","AQS"
"07/21/2019","54","","Glendora","06-037-0016","AQS"
"07/22/2019","61","","Glendora","06-037-0016","AQS"
"07/23/2019","63","","Glendora","06-037-0016","AQS"
"07/24/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"07/25/2019","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/26/2019","64","","Glendora","06-037-0016","AQS"
"07/27/2019","62","","Glendora","06-037-0016","AQS"
"07/28/2019","66","","Glendora","06-037-0016","AQS"
"07/29/2019","67","","Reseda","06-037-1201","AQS"
"07/30/2019","71","","Glendora","06-037-0016","AQS"
"07/31/2019","72","","Glendora","06-037-0016","AQS"
"08/01/2019","62","","Glendora","06-037-0016","AQS"
"08/02/2019","57","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/03/2019","59","","Glendora","06-037-0016","AQS"
"08/04/2019","60","","Glendora","06-037-0016","AQS"
"08/05/2019","59","","Glendora","06-037-0016","AQS"
"08/06/2019","59","","Glendora","06-037-0016","AQS"
"08/07/2019","64","","Glendora","06-037-0016","AQS"
"08/08/2019","63","","Glendora","06-037-0016","AQS"
"08/09/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/10/2019","56","","Glendora","06-037-0016","AQS"
"08/11/2019","49","","Glendora","06-037-0016","AQS"
"08/12/2019","59","","Glendora","06-037-0016","AQS"
"08/13/2019","67","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/14/2019","65","","Anaheim","06-059-0007","AQS"
"08/15/2019","63","","Anaheim","06-059-0007","AQS"
"08/16/2019","61","","Glendora","06-037-0016","AQS"
"08/17/2019","56","","Glendora","06-037-0016","AQS"
"08/18/2019","53","","Glendora","06-037-0016","AQS"
"08/19/2019","59","","Glendora","06-037-0016","AQS"
"08/20/2019","54","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/21/2019","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/22/2019","60","","Glendora","06-037-0016","AQS"
"08/23/2019","61","","Glendora","06-037-0016","AQS"
"08/24/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"08/25/2019","55","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"08/26/2019","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/27/2019","54","","Glendora","06-037-0016","AQS"
"08/28/2019","58","","Reseda","06-037-1201","AQS"
"08/29/2019","60","","Glendora","06-037-0016","AQS"
"08/30/2019","58","","Glendora","06-037-0016","AQS"
"08/31/2019","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/01/2019","68","","Glendora","06-037-0016","AQS"
"09/02/2019","56","","Glendora","06-037-0016","AQS"
"09/03/2019","66","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/04/2019","57","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/05/2019","56","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/06/2019","53","","Glendora","06-037-0016","AQS"
"09/07/2019","54","","Glendora","06-037-0016","AQS"
"09/08/2019","47","","Glendora","06-037-0016","AQS"
"09/09/2019","54","","Glendora","06-037-0016","AQS"
"09/10/2019","53","","Glendora","06-037-0016","AQS"
"09/11/2019","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/12/2019","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/13/2019","62","","Anaheim","06-059-0007","AQS"
"09/14/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/15/2019","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/16/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/17/2019","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/18/2019","45","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/19/2019","46","","Glendora","06-037-0016","AQS"
"09/20/2019","51","","Glendora","06-037-0016","AQS"
"09/21/2019","52","","Glendora","06-037-0016","AQS"
"09/22/2019","54","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/23/2019","56","","Glendora","06-037-0016","AQS"
"09/24/2019","58","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/25/2019","56","","Glendora","06-037-0016","AQS"
"09/26/2019","54","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/27/2019","42","","Glendora","06-037-0016","AQS"
"09/28/2019","32","","Glendora","06-037-0016","AQS"
"09/29/2019","38","","Long Beach (South)","06-037-4004","AQS"
"09/30/2019","48","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/01/2019","48","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/02/2019","64","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/03/2019","68","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/04/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/05/2019","60","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/06/2019","68","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/07/2019","88","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/08/2019","65","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/09/2019","67","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/10/2019","68","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/11/2019","185","","Reseda","06-037-1201","AQS"
"10/12/2019","95","","Reseda","06-037-1201","AQS"
"10/13/2019","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/14/2019","67","","Reseda","06-037-1201","AQS"
"10/15/2019","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/16/2019","72","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/17/2019","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/18/2019","52","","Glendora","06-037-0016","AQS"
"10/19/2019","57","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/20/2019","52","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/21/2019","49","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/22/2019","54","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/23/2019","58","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/24/2019","65","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/25/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/26/2019","53","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/27/2019","62","","Reseda","06-037-1201","AQS"
"10/28/2019","65","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/29/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/30/2019","54","","Reseda","06-037-1201","AQS"
"10/31/2019","64","","Long Beach (South)","06-037-4004","AQS"
"11/01/2019","61","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/02/2019","92","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/03/2019","86","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/04/2019","80","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/05/2019","71","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/06/2019","81","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/07/2019","121","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/08/2019","81","","Anaheim","06-059-0007","AQS"
"11/09/2019","66","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/10/2019","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/11/2019","93","","Reseda","06-037-1201","AQS"
"11/12/2019","102","","Anaheim","06-059-0007","AQS"
"11/13/2019","101","","Anaheim","06-059-0007","AQS"
"11/14/2019","88","","Glendora","06-037-0016","AQS"
"11/15/2019","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/16/2019","77","","Long Beach (South)","06-037-4004","AQS"
"11/17/2019","68","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/18/2019","48","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/19/2019","61","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/20/2019","41","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/21/2019","47","","Reseda","06-037-1201","AQS"
"11/22/2019","56","","Reseda","06-037-1201","AQS"
"11/23/2019","76","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/24/2019","109","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/25/2019","92","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/26/2019","79","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/27/2019","65","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/28/2019","52","","Reseda","06-037-1201","AQS"
"11/29/2019","66","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"11/30/2019","76","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/01/2019","60","","Reseda","06-037-1201","AQS"
"12/02/2019","67","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/03/2019","88","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/04/2019","57","","Reseda","06-037-1201","AQS"
"12/05/2019","56","","Reseda","06-037-1201","AQS"
"12/06/2019","64","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/07/2019","52","","Reseda","06-037-1201","AQS"
"12/08/2019","52","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/09/2019","125","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/10/2019","61","","Reseda","06-037-1201","AQS"
"12/11/2019","70","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/12/2019","81","","Los Angeles-North Main Street","06-037-1103","AQS"
"12/13/2019","96","","Los Angeles-North Main Street","06-037-1103","AQS"
"12/14/2019","88","","Los Angeles-North Main Street","06-037-1103","AQS"
"12/15/2019","42","","Anaheim","06-059-0007","AQS"
"12/16/2019","35","","Long Beach (South)","06-037-4004","AQS"
"12/17/2019","33","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/18/2019","60","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/19/2019","76","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/20/2019","62","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/21/2019","73","","Compton","06-037-1302","AQS"
"12/22/2019","59","","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"12/23/2019","32","","Reseda","06-037-1201","AQS"
